t_rel_s,rmssd_z,tempo,pitch,volume
0.0,0.613958,1.0,-2.0,60.0
0.997,0.349063,1.0,-2.0,60.0
1.994,0.126873,1.0,-2.0,60.0
2.992,0.131777,1.0,-2.0,60.0
3.989,0.118923,1.0,-2.0,60.0
4.987,0.478484,1.0,-2.0,60.0
5.986,0.337928,1.0,-2.0,60.0
7.98,0.659403,1.0,-2.0,60.0
7.982,0.704847,1.0,-2.0,60.0
8.978,0.786798,1.0,-2.0,60.0
9.975,0.717225,1.0,-2.0,60.0
11.472,1.241919,1.0,-2.0,60.0
11.971,0.698026,1.0,-2.0,60.0
12.968,0.566601,1.0,-2.0,60.0
13.966,0.722374,1.0,-2.0,60.0
14.964,0.571909,1.0,-2.0,60.0
15.961,0.771737,1.0,-2.0,60.0
16.958,0.771737,1.0,-2.0,60.0
17.956,1.562515,1.0,-2.0,60.0
18.953,1.458477,1.0,-2.0,60.0
19.951,1.186629,1.0,-2.0,60.0
20.948,1.361834,1.0,-2.0,60.0
21.946,1.3766,1.0,-2.0,60.0
22.943,1.311599,1.0,-2.0,60.0
23.941,1.449137,1.0,-2.0,60.0
24.938,1.423917,1.0,-2.0,60.0
25.936,1.198483,1.0,-2.0,60.0
27.931,1.092193,1.0,-2.0,60.0
27.933,0.990015,1.0,-2.0,60.0
28.928,1.326129,1.0,-2.0,60.0
29.926,1.623885,1.0,-2.0,60.0
30.923,1.473889,1.0,-2.0,60.0
31.921,1.580291,1.0,-2.0,60.0
32.918,1.175692,1.0,-2.0,60.0
33.916,0.742505,1.0,-2.0,60.0
34.914,0.716195,1.0,-2.0,60.0
35.911,1.02798,1.0,-2.0,60.0
37.407,0.790455,1.0,-2.0,60.0
37.906,0.761127,1.0,-2.0,60.0
38.903,0.533773,1.0,-2.0,60.0
39.901,0.429985,1.0,-2.0,60.0
40.899,0.469171,1.0,-2.0,60.0
42.395,0.748242,1.0,-2.0,60.0
42.894,0.724226,1.0,-2.0,60.0
44.39,0.725872,1.0,-2.0,60.0
44.889,0.367709,1.0,-2.0,60.0
45.886,0.102274,1.0,-2.0,60.0
47.881,0.138539,1.0,-2.0,60.0
47.884,-0.093324,1.0,-2.0,60.0
48.879,0.17913,1.0,-2.0,60.0
49.876,0.306608,1.0,-2.0,60.0
50.874,0.114005,1.0,-2.0,60.0
51.871,-0.136828,1.0,-2.0,60.0
52.869,-0.145534,1.0,-2.0,60.0
53.866,0.018543,1.0,-2.0,60.0
54.864,-0.097999,1.0,-2.0,60.0
55.861,-0.252237,1.0,-2.0,60.0
56.859,-0.246108,1.0,-2.0,60.0
57.856,-0.475951,1.0,-2.0,60.0
59.353,-0.349513,1.0,-2.0,60.0
60.35,-0.408891,1.0,-2.0,60.0
61.348,-0.118976,1.0,-2.0,60.0
62.345,-0.225997,1.0,-2.0,60.0
63.343,-0.270682,1.0,-2.0,60.0
64.34,-0.477305,1.0,-2.0,60.0
65.338,-0.305496,1.0,-2.0,60.0
66.834,-0.00692,1.0,-2.0,60.0
67.333,-0.216612,1.0,-2.0,60.0
68.33,0.102979,1.0,-2.0,60.0
69.328,0.487995,1.0,-2.0,60.0
70.325,0.409611,1.0,-2.0,60.0
71.323,0.601318,1.0,-2.0,60.0
72.32,0.658986,1.0,-2.0,60.0
73.318,0.846198,1.0,-2.0,60.0
74.315,0.846198,1.0,-2.0,60.0
75.313,0.800193,1.0,-2.0,60.0
76.31,1.390419,1.0,-2.0,60.0
77.807,1.280943,1.0,-2.0,60.0
78.305,1.166435,1.0,-2.0,60.0
79.303,1.795475,1.0,-2.0,60.0
80.3,1.728661,1.0,-2.0,60.0
81.298,1.451474,1.0,-2.0,60.0
82.296,1.498713,1.0,-2.0,60.0
83.293,2.048702,1.0,-2.0,60.0
84.291,2.075334,1.0,-2.0,60.0
85.288,1.8308,1.0,-2.0,60.0
87.283,1.895176,1.0,-2.0,60.0
87.285,1.895176,1.0,-2.0,60.0
88.281,2.043655,1.0,-2.0,60.0
89.278,1.81764,1.0,-2.0,60.0
90.276,1.809359,1.0,-2.0,60.0
91.273,1.287791,1.0,-2.0,60.0
92.271,1.581872,1.0,-2.0,60.0
93.268,1.665601,1.0,-2.0,60.0
94.266,1.15072,1.0,-2.0,60.0
95.263,1.141611,1.0,-2.0,60.0
96.261,1.329801,1.0,-2.0,60.0
97.258,1.337873,1.0,-2.0,60.0
98.754,1.284646,1.0,-2.0,60.0
99.253,0.706912,1.0,-2.0,60.0
100.251,0.651684,1.0,-2.0,60.0
101.248,0.625516,1.0,-2.0,60.0
102.246,0.528208,1.0,-2.0,60.0
103.243,0.891396,1.0,-2.0,60.0
