t_rel_s,rmssd_ms,rmssd_z,tempo,pitch,volume
0.0,nan,1.097548,1.0,-2.0,60.0
0.978,nan,1.736765,1.0,-2.0,60.0
1.974,nan,2.091364,1.0,-2.0,60.0
2.972,nan,1.88926,1.0,-2.0,60.0
4.039,nan,1.682938,1.0,-2.0,60.0
5.037,nan,2.490346,1.0,-2.0,60.0
6.035,nan,2.548653,1.0,-2.0,60.0
7.032,nan,2.587096,1.0,-2.0,60.0
9.027,nan,2.735399,1.0,-2.0,60.0
9.03,nan,2.772366,1.0,-2.0,60.0
10.025,nan,3.002742,1.0,-2.0,60.0
11.022,nan,2.926332,1.0,-2.0,60.0
12.02,nan,2.861745,1.0,-2.0,60.0
13.516,nan,2.963476,1.0,-2.0,60.0
14.015,nan,2.569186,1.0,-2.0,60.0
15.012,nan,2.564789,1.0,-2.0,60.0
16.01,nan,2.647846,1.0,-2.0,60.0
17.007,nan,1.706481,1.0,-2.0,60.0
18.005,nan,1.710711,1.0,-2.0,60.0
19.002,nan,1.93908,1.0,-2.0,60.0
20.0,nan,1.227819,1.0,-2.0,60.0
20.997,nan,0.706243,1.0,-2.0,60.0
21.995,nan,0.399412,1.0,-2.0,60.0
22.992,nan,0.133117,1.0,-2.0,60.0
23.99,nan,0.391381,1.0,-2.0,60.0
24.987,nan,-0.212302,1.0,-2.0,60.0
25.985,nan,-0.266416,1.0,-2.0,60.0
26.982,nan,-0.290707,1.0,-2.0,60.0
28.977,nan,-0.472192,1.0,-2.0,60.0
28.98,nan,-0.351178,1.0,-2.0,60.0
29.975,nan,-0.395677,1.0,-2.0,60.0
31.471,nan,-0.416076,1.0,-2.0,60.0
31.97,nan,-0.39599,1.0042,-2.0125,59.83
32.967,nan,-0.176927,1.0081,-2.0244,59.68
33.965,nan,-0.736134,1.0099,-2.0297,59.6
34.963,nan,-0.595952,1.0173,-2.0518,59.31
35.96,nan,-0.59331,1.0232,-2.0696,59.07
36.958,nan,-0.529168,1.0291,-2.0874,58.83
37.955,nan,-0.790538,1.0344,-2.1033,58.62
38.952,nan,-0.69954,1.0423,-2.127,58.31
39.95,nan,-0.613507,1.0493,-2.148,58.03
40.948,nan,-0.431843,1.0555,-2.1664,57.78
41.945,nan,0.488367,1.0598,-2.1794,57.61
42.943,nan,0.83225,1.0549,-2.1647,57.8
43.94,nan,0.714244,1.0466,-2.1398,58.14
44.938,nan,0.98235,1.0394,-2.1183,58.42
45.935,nan,1.004354,1.0296,-2.0889,58.82
46.933,nan,1.081773,1.0196,-2.0587,59.22
48.928,nan,0.903655,1.0088,-2.0263,59.65
48.932,nan,0.844299,0.9997,-1.9992,60.01
49.925,nan,0.843119,0.9913,-1.9738,60.35
50.923,nan,0.742023,0.9828,-1.9485,60.69
51.92,nan,0.696771,0.9754,-1.9263,60.98
52.918,nan,0.696771,0.9685,-1.9054,61.26
